Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
C919,C919-100,C919,C919-100,N919SB,919,LEAP-1C28,158,100751,142418,165567,149473,43122,,,,Default
CL30,Challenger 300,CL30,Challenger 300,N349SB,349,HTF7000,9,23765,28200,40600,34150,14150,,,,Default
CL35,Challenger 350,CL35,Challenger 350,N350SB,350,HTF7350,9,23765,28200,40600,34150,14150,,,,Default
CL60,Challenger 650,CL60,Challenger 650,N650SB,650,CF34-3B,12,27150,32000,48200,38000,19852,,,,Default
CL60,Challenger 650,323617_1641690879983,Challenger 650,N650CL,6050,CF34-3B,12,27680,32000,48200,38000,19842,M80,250/300/78,78/300/250,Hot Start (X-Plane) - Challenger 650 [credit: Rodeo314]
CONI,L-049,CONI,L-049,N511SB,511,R-3350-745C18BA-1,81,51152,75960,86250,75000,27999,,,,Default
CONI,L-1049G,CONS,L-1049G,N149SB,149,R-3350-93,61,79900,105000,138000,120000,39600,,,,Default
CRJ2,CRJ-200,CRJ2,CRJ-200,N211SB,211,CF34-3B1,50,31904,44000,53000,47000,14518,,,,Default
CRJ7,CRJ-550,CRJ5,CRJ-550,N920SB,920,CF34-8C5B1,50,42588,59000,65000,61000,19594,,,,Default
CRJ7,CRJ-550,349674_1663996872247,CRJ-550,ASCRJ550,,CF34-8C5B1,50,45749,59000,65000,61000,19723,,,,Aerosoft (MSFS) - Base Weight [credit: Awemeter]
CRJ7,CRJ-700,CRJ7,CRJ-700,N921SB,921,CF34-8C5B1,78,43712,62300,75000,67000,19594,,,,Default
CRJ7,CRJ-700,349674_1664064088827,CRJ-700,ASCRJ700,,CF34-8C5B1,70,45749,62300,75000,67000,19723,,,,Aerosoft (MSFS) - Base Weight [credit: Awemeter]
CRJ9,CRJ-900,CRJ9,CRJ-900,N922SB,922,CF34-8C5,90,49355,70750,84500,75100,19594,,,,Default
CRJ9,CRJ-900,349674_1664065949974,CRJ-900,ASCRJ900,,CF34-8C5,90,48908,70750,84500,75100,19723,CI,250/320/77,74/290/250,Aerosoft (MSFS) - Base Weight [credit: Awemeter]
CRJX,CRJ-1000,CRJX,CRJ-1000,N910SB,910,CF34-8C5A1,104,52855,77500,91800,81500,19828,,,,Default
CRJX,CRJ-1000,349674_1664067511837,CRJ-1000,ASCRJ1000,,CF34-8C5A1,104,54749,77500,91800,81500,19723,,,,Aerosoft (MSFS) - Base Weight [credit: Awemeter]
D328,Dornier 328-100,3_1684947142271,Dornier 328-100,N328SB,328,PW119B,33,8810,12610,13990,13230,4290,,,,MG Dornier 328 (X-Plane) [credit: KevinAviationHD]
DA40,Diamond DA40,DA40,Diamond DA40,N040SB,040,IO-360-M1A,3,1960,2535,2646,2535,301,,,,Default
DA40,Diamond DA40 NG,DA4N,Diamond DA40 NG,N041SB,041,AE300 E4-A,3,2166,2789,2888,2822,260,,,,Default
DA42,Diamond DA42,DA42,Diamond DA42,N042SB,042,AE 300 E4-C,4,3131,4045,4407,4407,512,,,,Default
DA62,Diamond DA62,DA62,Diamond DA62,N062SB,062,AE 330 E4P-C,6,3461,4850,5071,5071,596,,,,Default
DC10,DC-10-30,DC10,DC-10-30,N101SB,101,False,285,272100,391000,555000,411000,246000,,,,Default
DC3,Douglas DC-3,DC3,Douglas DC-3,N511,511,P&W R-1830,26,17555,26000,28000,28000,4932,,,,Default
DC6,Douglas DC-6,DC6,Douglas DC-6,N6PM,6,R2800-CB16,68,56398,83200,97200,80000,31637,,,,Default
DC6,Douglas DC-6,478697_1655670406848,Douglas DC-6A,N100CE,,R2800-CB16,0,52567,74000,107200,80000,33072,,,,PMDG (MSFS) - Cargo Variant [credit: pulmy]
DC6,Douglas DC-6,478697_1655656818125,Douglas DC-6B,PH-DFI,,R2800-CB16,68,61258,74000,102800,80000,33072,,,,PMDG (MSFS) - Passenger Variant [credit: pulmy]
DC85,DC-8-55,DC85,DC-8-55,N855SB,855,JT3D-3B,189,138351,190000,325000,217000,159065,,,,Default
DC86,DC-8-63,DC86,DC-8-63,N863SB,863,JT3D-7,259,158981,230000,355000,258000,165070,,,,Default
DC91,DC-9-15,DC91,DC-9-15,N915SB,915,JT8D-7B,90,49162,74000,90700,81700,24743,,,,Default
DC93,DC-9-32,DC93,DC-9-32,N932SB,932,JT8D-9A,115,56857,87000,108000,99000,24649,,,,Default
DH8A,DHC8-102,DH8A,DHC8-102,N802SB,802,PW120A,37,23255,31700,35000,33900,5670,,,,Default
DH8B,DHC8-200,DH8B,DHC8-200,N824SB,824,PW123C,37,23681,32400,36300,34500,5670,,,,Default
DH8C,DHC8-311,DH8C,DHC8-311,N831SB,320,PW123B,50,26672,39500,43000,42000,5670,,,,Default
DH8D,DHC8-402,DH8D,DHC8-402,N847SB,847,PW150A,74,39111,58000,65200,62000,11724,,,,Default
DHC2,Beaver,DHC2,Beaver,N020SB,020,False,4,2961,5100,5100,5100,1000,,,,Default
DHC6,Twin Otter,DHC6,Twin Otter,N063SB,063,False,16,7505,11400,12500,12200,3000,,,,Default
DHC7,Dash 7,DHC7,Dash 7,N700SB,700,PT6A-50,50,28404,39000,44000,42000,10064,,,,Default
E110,EMB-110,885549_1772557426011,EMB-110,EC-EMB,110,PT6A-34,18,7750,12490,13250,12600,2884,NORM-1700,1800RPM,1500FPM,NextGen Simulations (MSFS) - EMB-110P
E110,EMB-110,885549_1772558653259,EMB-110,EC-EMB,110,PT6A-34,20,7750,12490,13250,12600,2884,NORM-1700,1800RPM,1500FPM,NextGen Simulations (MSFS) - EMB-110P1
E110,EMB-110,885549_1772558760463,EMB-110,EC-EMB,110,PT6A-34,21,7750,12490,13250,12600,2884,NORM-1700,1800RPM,1500FPM,NextGen Simulations (MSFS) - EMB-110P2
E110,EMB-110,885549_1772558737904,EMB-110,EC-EMB,110,PT6A-34,0,7750,12490,13250,12600,2884,NORM-1700,1800RPM,1500FPM,NextGen Simulations (MSFS) - EMB-110P1F
E135,ERJ-135LR,E135,ERJ-135LR,N135SB,135,AE3007-A1/3,37,26122,35274,44092,40785,11345,,,,Default
E135,ERJ-135LR,328221_1772529017463,EMB-135,E135,,AE3007-A1,37,25355,35274,44092,40785,9919,M76,240/270/56,78/310/240,X-Crafts (X-Plane) - ERJ Family ERJ-135LR
E35L,Legacy 600,E13L,Legacy 600,N132SB,132,AE3007-A1E,12,30081,35274,49604,40786,18245,,,,Default
E35L,Legacy 600,328221_1772529390575,Legacy 650,E135BJ,,AE3007A1,13,32298,36156,53572,44092,20503,M78,240/260/60,78/310/240,X-Crafts (X-Plane) - ERJ Family Legacy 650
E135,ERJ-140LR,E140,ERJ-140LR,N140SB,140,AE3007-A1/3,44,26890,37698,46516,41225,11385,,,,Default
E135,ERJ-140LR,328221_1772529020192,EMB-140,E140,,AE3007-A1,44,26032,37698,46517,41226,11385,M76,240/270/56,78/310/240,X-Crafts (X-Plane) - ERJ Family ERJ-140LR
E145,ERJ-145LR,E145,ERJ-145LR,N141SB,141,AE3007-A1,50,27550,39462,48501,42549,11345,,,,Default
E145,ERJ-145LR,328221_1772529022452,EMB-145,E145,,AE3007-A1,50,26709,39462,48501,43651,11100,M76,240/270/56,78/310/240,X-Crafts (X-Plane) - ERJ Family ERJ-145LR
E145,ERJ-145LR,328221_1772529026088,ERJ-145XR,E145XR,,AE3007-A1,50,27758,40785,53131,44092,13168,M77,240/270/56,78/310/240,X-Crafts (X-Plane) - ERJ Family ERJ-145XR
E170,ERJ-170,E170,ERJ-170,N170SB,170,CF34-8E5,80,48172,68123,85098,73414,21000,,,,Default
E170,ERJ-170,535488_1702546468126,ERJ-170,FSSE170,170,CF34-8E5,76,21850,30900,38790,34000,9335,,,,FlightSim Studio (MSFS) - Dual Class Configuration
E170,ERJ-170,535488_1702546482585,ERJ-170,FSSE170,170,CF34-8E5,72,21850,30900,38790,34000,9335,,,,FlightSim Studio (MSFS) - Single Class Configuration
E170,ERJ-170,535488_1702546498635,ERJ-170,FSSE170,170,CF34-8E5,78,21850,30900,38790,34000,9335,,,,FlightSim Studio (MSFS) - High Density Configuration
E170,ERJ-170,328221_1728076476838,ERJ-170,E170,,CF34-8E5,78,21850,30900,38600,33300,9187,CI,240/290/70,77/290/250,X-Crafts (X-Plane) - E-Jets Family E170 LR
E75L,ERJ-175,E175,ERJ-175,N175SB,175,CF34-8E5,88,50384,69887,85517,74957,21000,,,,Default
E75L,ERJ-175,535488_1702546282319,ERJ-175,FSSE175,175,CF34-8E5,76,22853,31700,38790,34000,9335,,,,FlightSim Studio (MSFS) - Dual Class Configuration
E75L,ERJ-175,535488_1702546304894,ERJ-175,FSSE175,175,CF34-8E5,78,22853,31700,38790,34000,9335,,,,FlightSim Studio (MSFS) - Single Class Configuration
E75L,ERJ-175,535488_1702546333979,ERJ-175,FSSE175,175,CF34-8E5,88,22853,31700,38790,34000,9335,,,,FlightSim Studio (MSFS) - High Density Configuration
E75L,ERJ-175,328221_1728076486952,ERJ-175,E175,,CF34-8E5,86,21810,32000,40370,34100,9355,CI,240/290/70,77/290/250,X-Crafts (X-Plane) - E-Jets Family E175 LR
E190,ERJ-190,E190,ERJ-190,N190SB,190,CF34-10E6,114,63512,90168,114199,97003,29100,,,,Default
E190,ERJ-190,535488_1702545680921,ERJ-190,FSSE190,190,CF34-10E6,96,27303,40900,50299,43000,12971,,,,FlightSim Studio (MSFS) - Dual Class Configuration
E190,ERJ-190,535488_1702545698667,ERJ-190,FSSE190,190,CF34-10E6,100,27303,40900,50299,43000,12971,,,,FlightSim Studio (MSFS) - Single Class Configuration
E190,ERJ-190,535488_1702545712983,ERJ-190,FSSE190,190,CF34-10E6,114,27303,40900,50299,43000,12971,,,,FlightSim Studio (MSFS) - High Density Configuration
E190,ERJ-190,1356_1716290751527,ERJ-190,FSS190F,,CF34-10E6,0,27451,40900,50300,44000,13200,False,False,False,FlightSim Studio (MSFS) - Cargo Configuration
E190,ERJ-190,328221_1728076493552,ERJ-190,E190,,CF34-10E5A1,114,28838,40900,51800,44000,12959,CI,250/290/75,77/290/250,X-Crafts (X-Plane) - E-Jets Family E190 AR
E190,Lineage 1000,E19L,Lineage 1000,N191SB,191,CF34-10E6,19,70843,80469,120152,100972,48217,,,,Default
E195,ERJ-195,E195,ERJ-195,N195SB,195,CF34-10E7,122,64717,93917,115280,100972,29100,,,,Default
E195,ERJ-195,535488_1702545344909,ERJ-195,FSSE195,195,CF34-10E7,100,28663,42600,50790,45000,12971,,,,FlightSim Studio (MSFS) - Dual Class Configuration
E195,ERJ-195,535488_1702545380938,ERJ-195,FSSE195,195,CF34-10E7,116,28663,42600,50790,45000,12971,,,,FlightSim Studio (MSFS) - Single Class Configuration
E195,ERJ-195,535488_1702545399385,ERJ-195,FSSE195,195,CF34-10E7,124,28663,42600,50790,45000,12971,,,,FlightSim Studio (MSFS) - High Density Configuration
E195,ERJ-195,1356_1715972125705,ERJ-195,FSS195F,,CF34-10E7,0,27451,42600,50300,45000,12971,,,,FlightSim Studio (MSFS) - Cargo Configuration
E195,ERJ-195,328221_1728076499765,ERJ-195,E195,,CF34-10E7,122,28668,42600,52290,45800,12970,CI,250/270/70,77/290/250,X-Crafts (X-Plane) - E-Jets Family E195 AR
E50P,Phenom 100,E50P,Phenom 100,N500SB,500,PW617F1-E,5,6792,8885,10582,9877,2806,,,,Default
E55P,Phenom 300,E55P,Phenom 300,N505SB,505,PW535E,8,11297,13999,17968,16865,5353,,,,Default
E55P,Phenom 300,715669_1760743138073,Phenom 300E,N177P,505,PW535E1,7,11354,14263,18551,17272,5401,MCR,225/60,70/275,FSReborn (MSFS) - Phenom 300E
EA50,Eclipse 550,EA50,Eclipse 550,N550SB,550,PW610F,5,3634,4922,6000,5600,1698,,,,Default
ZZZZ,Eviation Alice,EVAL,Eviation Alice,N650SB,650,MAGNI650,9,15900,18400,18400,18400,100,,,,Default
F28,Fokker F28,624280_1687457722087,Fokker F28,G-JUST,28,SPEY MK.555-15P,65,35517,54500,65000,59000,23081,M70,250/280/70,70/280/250,Just Flight (MSFS) - Fokker F28 Mk.1000
F28,Fokker F28,624280_1687457572741,Fokker F28,G-JUST,28,SPEY MK.555-15P,79,36953,54500,65000,59000,23081,M70,250/280/70,70/280/250,Just Flight (MSFS) - Fokker F28 Mk.2000
F28,Fokker F28,624280_1688123220047,Fokker F28,G-JUST,28,SPEY MK.555-15P,65,37139,56142,73000,64000,23081,M70,250/280/70,70/280/250,Just Flight (MSFS) - Fokker F28 Mk.3000
F28,Fokker F28,624280_1683743102001,Fokker F28,G-JUST,28,SPEY MK.555-15P,85,38825,62142,73000,69500,23081,M70,250/280/70,70/280/250,Just Flight (MSFS) - Fokker F28 Mk.4000
F50,Fokker F50,F50,Fokker F50,N503SB,503,False,50,27731,41700,45900,44100,9100,,,,Default
F70,Fokker 70,F70,Fokker 70,N070SB,070,TAY 620-15,72,49985,74000,88000,81000,17002,,,,Default
F70,Fokker 70,624280_1753983626163,Fokker 70,G-JUST,070,TAY 620-15,70,50665,72000,83760,81000,23731,CI,250/280/70,70/280/250,Just Flight (MSFS) - 70 Passengers
F100,Fokker 100,F100,Fokker 100,N100SB,100,TAY 650-15,97,58420,81000,98000,88000,22611,,,,Default
F100,Fokker 100,624280_1744226464455,Fokker 100,G-JUST,100,TAY 620-15,100,54418,81000,98000,88000,23731,CI,250/280/70,70/280/250,"Just Flight (MSFS) - 100 Pax, Integral Stairs, Small Cargo"
F100,Fokker 100,624280_1753984570570,Fokker 100,G-JUST,100,TAY 620-15,100,54418,81000,98000,88000,23731,CI,250/280/70,70/280/250,"Just Flight (MSFS) - 100 Pax, Integral Stairs, Large Cargo"
F100,Fokker 100,624280_1753984484726,Fokker 100,G-JUST,100,TAY 620-15,100,54418,81000,98000,88000,23731,CI,250/280/70,70/280/250,"Just Flight (MSFS) - 100 Pax, Sliding Door, Large Cargo"
F100,Fokker 100,624280_1753984304253,Fokker 100,G-JUST,100,TAY 620-15,98,54418,81000,98000,88000,23731,CI,250/280/70,70/280/250,"Just Flight (MSFS) - 98 Pax, L2 Door, Integral Stairs, Small Cargo"
F406,Cessna F406,F406,Cessna F406,N406SB,406,PT6A-112,12,5033,8500,9360,9360,3183,,,,Default
FA50,Falcon 50,FA50,Falcon 50,N500SB,500,TFE 731-40,8,21861,25570,40780,35715,15607,,,,Default
FA50,Falcon 50,451346_1780588028990,Falcon 50B,N9TE,500,TFE 731-3-1C,9,22741,25570,40780,35715,15513,M78,250/260/72,80/330/250,Contrail (MSFS) - Falcon 50B
FA8X,Falcon 8X,FA8X,Falcon 8X,N508SB,508,PW307D,14,37000,41000,73000,62400,35141,,,,Default
GLF4,GLF.IV-SP,GLF4,GLF.IV-SP,N771SB,771,RB.183-611-8,19,42960,49000,74600,66000,29500,,,,Default
GLF6,GLF.VI G650,GLF6,GLF.VI G650,N650SB,650,BR700-725A1-12,13,54500,60500,99600,83500,44200,,,,Default
H25B,Hawker 800XP,H25B,Hawker 800XP,N800SB,800,TFE 731-5BR,8,15120,18450,28000,23350,9942,,,,Default
H25B,Hawker 800XP,349674_1788725644993,Hawker 800XP,FFXH25B,,TFE 731-5BR,10,15840,18450,28000,23350,9956,HSC,250/70,76/285/250,FlightFX (MSFS) - Hawker 800XP [credit: Awemeter]
HDJT,Hondajet,HDJT,Hondajet,N420SB,420,HF120-H1A,6,7315,8900,10700,9960,2948,,,,Default
HDJT,Hondajet,323617_1725137857308,HondaJet,N420HA,,HF120-H1A,6,7373,8800,10600,9860,2882,HSC,210/57,72/270/250,FlightFX (MSFS) - HondaJet [credit: Rodeo314]
HDJT,Hondajet,323617_1725137880736,HondaJet,N420HA,,HF120-H1A,6,7373,9300,11100,10360,3118,HSC,210/57,72/270/250,FlightFX (MSFS) - Elite II [credit: Rodeo314]
IL18,Ilyushin IL-18D,IL18,Ilyushin IL-18D,N184SB,184,AI-20M,100,77162,107586,141096,115963,51919,,,,Default
IL76,Ilyushin IL-76,3_1693976418301,Ilyushin IL-76,RA76952,076,D-30KP,5,194000,304000,418900,334000,198000,,,,Ilyushin IL-76TD [credit: KevinAviationHD]
JS41,BAe JS-41,JS41,BAe JS-41,N410SB,410,False,30,14144,21400,24000,23300,5889,,,,Default
K100,Kodiak 100,KODI,Kodiak 100,N018SB,018,PT6A-34,9,3775,7255,7255,6690,2144,,,,Default
L101,L1011-500,L101,L1011-500,N105SB,105,RB211-524B,330,248429,338000,510000,368000,213600,,,,Default
L101,L1011-500,347385_1768565951715,L1011-500,G-STAR,AR,RB211-524B,243,245400,325000,510000,368000,213636,M83,250/320/82,82/320/250,iniBuilds (MSFS) - L1011-500 Regular
L101,L1011-500,347385_1771934739128,L1011-500,G-FERY,RY,RB211-524B,243,261700,336500,480000,365000,213640,M83,250/320/82,82/320/250,iniBuilds (MSFS) - L1011-500 Pod Ferry
L410,Let L-410,3_1693275202454,Let L-410,OKSLD,012,M601E,19,4150,5870,6600,6400,1320,,,,Let L-410 Turbolet [credit: KevinAviationHD]
LJ25,Learjet 25,LJ25,Learjet 25,N025SB,025,CJ-610-8A,8,7941,11400,15000,13300,6097,,,,Default
LJ35,Learjet 35A,LJ35,Learjet 35A,N085SB,085,TFE731-2-2B,8,10310,13500,18300,15300,6238,,,,Default
LJ45,Learjet 45,LJ45,Learjet 45,N087SB,087,TFE731-20,9,13550,16000,21500,19200,6062,,,,Default
MD11,MD-11,MD11,MD-11,N115SB,115,CF6-80C2D1F,381,269177,430000,630500,458000,256900,,,,Default
MD11,MD-11,100365_1725040651522,MD-11,ROT-MD11P,115,CF6-80C2D1F,285,135414,204764,286070,218466,116225,CI,250/330/82,82/330/250,Rotate (X-Plane) - MD-11P GE
MD11,MD-11,81536_1694462896486,MD-11,TFDI-MD11,115,CF6-80C2D1F,282,128809,181436,283721,195044,116528,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11 GE
MD11,MD-11,81536_1716573730074,MD-11,TFDI-MD11,115,PW4462,282,128809,181436,283722,195044,116528,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11 PW
MD11,MD-11,81536_1702557002188,MD-11,TFDI-MD11,115,CF6-80C2D1F,282,128800,181436,285989,207745,129345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11ER GE
MD11,MD-11,81536_1716573849234,MD-11,TFDI-MD11,115,PW4462,282,128800,181436,285990,207745,129345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11ER PW
MD11,MD-11F,MD1F,MD-11F,N116SB,116,CF6-80C2D1F,25,262177,461300,630500,491500,256900,,,,Default
MD11,MD-11F,100365_1774038308347,MD-11F,ROT-MD11F,116,CF6-80C2D1F,0,114910,204764,286070,218466,116225,CI,250/330/82,82/330/250,Rotate (X-Plane) - MD-11F GE
MD11,MD-11F,81536_1702556701413,MD-11F,TFDI-MD11,116,CF6-80C2D1F,4,112748,204706,283721,218404,117345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11F GE
MD11,MD-11F,81536_1716573676531,MD-11F,TFDI-MD11,116,PW4462,4,112748,204706,283721,218404,117345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11F PW
MD11,MD-11F,81536_1702556971915,MD-11F,TFDI-MD11,116,CF6-80C2D1F,4,112748,204706,285989,218404,129345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11ERF GE
MD11,MD-11F,81536_1716573382477,MD-11F,TFDI-MD11,116,PW4462,4,112748,204706,285990,218404,129345,CI,250/330/82,82/330/250,TFDi Design (MSFS) - MD-11ERF PW
MD82,DC-9-82,MD82,DC-9-82,N882SB,882,JT8D-217,172,78543,122000,149500,130000,39168,,,,Default
MD82,DC-9-82,144968_1676966319407,DC-9-82,I-LEOX,,JT8D-217,162,81207,122000,149500,130000,39110,,,,Leonardo Maddog (MSFS) - Y162 Config
MD82,DC-9-82,144968_1676984015101,DC-9-82,I-LEOX,,JT8D-217,148,84161,122000,149500,130000,39110,,,,Leonardo Maddog (P3D) - J14Y134 Config
MD82,DC-9-82,144968_1676983464912,DC-9-82,I-LEOX,,JT8D-217,162,81207,122000,149500,130000,39110,,,,Leonardo Maddog (P3D) - Y162 Config
MD83,DC-9-83,MD83,DC-9-83,N883SB,883,JT8D-219,172,80295,122000,160000,139500,46773,,,,Default
MD83,DC-9-83,144968_1679042284621,DC-9-83,N9405T,,JT8D-219,162,83222,122000,160000,139500,46707,,,,Leonardo Maddog (MSFS) - Y162 Config
MD83,DC-9-83,144968_1676986285606,DC-9-83,N9405T,,JT8D-219,148,86176,122000,160000,139500,46707,,,,Leonardo Maddog (P3D) - J14Y134 Config
MD83,DC-9-83,144968_1676986474463,DC-9-83,N9405T,,JT8D-219,162,83222,122000,160000,139500,46707,,,,Leonardo Maddog (P3D) - Y162 Config
MD88,MD-88,MD88,MD-88,N888SB,888,JT8D-219,172,80343,122000,149500,130000,39168,,,,Default
MD88,MD-88,144968_1679042492747,DC-9-88,N911DE,,JT8D-219,162,82790,122000,160000,139500,39110,,,,Leonardo Maddog (MSFS) - Y162 Config
MD88,MD-88,144968_1676987062112,DC-9-88,N911DE,,JT8D-219,148,85744,122000,160000,139500,39110,,,,Leonardo Maddog (P3D) - J14Y134 Config
MD88,MD-88,144968_1676987255879,DC-9-88,N911DE,,JT8D-219,162,82790,122000,160000,139500,39110,,,,Leonardo Maddog (P3D) - Y162 Config
MD90,MD-90-30,MD90,MD-90-30,N890SB,890,False,172,80600,132000,168000,142000,45900,,,,Default
MU2,MU-2B-60,MU2,MU-2B-60,N060SB,060,TPE331-10,6,8100,9950,11575,11025,2700,,,,Default
P06T,Tecnam P2006T,P06T,Tecnam P2006T,N006SB,006,ROTAX 912 S3,3,1742,2524,2601,2601,322,,,,Default
P180,P.180 Avanti II,P180,P.180 Avanti II,N180SB,180,PT6A-66B,7,8375,9800,12100,11500,2802,,,,Default
P180,P.180 Avanti II,349674_1738801725154,P.180 Avanti II,FFX180,180,PT6A-66B,8,7840,9800,11550,10945,2354,RECMD-1800,160-KIAS,1500-FPM,FlightFX (MSFS) - P.180 Avanti II [credit: Awemeter]
P180,P.180 Avanti EVO,P18E,P.180 Avanti EVO,N181SB,181,PT6A-66B,7,8375,9800,12100,11500,2802,,,,Default
P212,Tecnam P2012,P212,Tecnam P2012,N012SB,012,TEO-540C1A,9,5291,7673,7937,7937,1191,,,,Default
P46T,Piper M500,P46T,Piper M500,N500SB,500,PT6A-42A,5,3611,4850,5092,4850,1139,,,,Default
M600,Piper M600,M600,Piper M600,N600SB,600,PT6A-42A,5,3825,4850,6000,5800,1742,,,,Default
PA24,Piper Comanche,PA24,Piper Comanche,N024SB,024,IO-540-C,4,1690,3000,3000,3000,540,,,,Default
PA31,Piper Chieftain,PA31,Piper Chieftain,N031SB,031,TIO-540-J2BD,7,4221,7000,7000,7000,1092,,,,Default
PA34,Piper Seneca,PA34,Piper Seneca,N034SB,034,TSIO-360E,6,2823,4000,4570,4342,738,,,,Default
PA44,Piper Seminole,PA44,Piper Seminole,N044SB,044,O-360-A1H6,3,2354,3800,3800,3800,648,,,,Default
PAY3,Piper Cheyenne III,PAY3,Piper Cheyenne III,N042SB,042,PT6A-41,9,6550,9350,11200,10330,3872,,,,Default
PC12,Pilatus PC12,PC12,Pilatus PC12,N012SB,012,PT6A-67B,9,5691,9039,10450,9920,2704,,,,Default
PC12,Pilatus PC12,349674_1702068886464,Pilatus PC12,SWS12,,PT6A-67B,8,5808,9039,10428,9921,2693,,,,SimWorks Studios (MSFS) - Commuter [credit: Awemeter]
PC12,Pilatus PC12,349674_1701995083157,Pilatus PC12,SWS12,,PT6A-67B,6,5808,9039,10428,9921,2693,,,,SimWorks Studios (MSFS) - Executive [credit: Awemeter]
PC12,Pilatus PC12,349674_1702069779120,Pilatus PC12,SWS12,,PT6A-67B,0,5808,9039,10428,9921,2693,,,,SimWorks Studios (MSFS) - Cargo [credit: Awemeter]
PC24,Pilatus PC24,PC24,Pilatus PC24,N024SB,024,FJ44-4A,10,12204,14660,18739,17339,5964,,,,Default
PRM1,Beech Premier IA,3_1774820337004,Beech Premier IA,N47PC,PC,FJ44-2A,6,3901,4536,5670,5262,1665,MCR,240/64,2000FPM,Carenado (MSFS) - Beech Premier IA [credit: KevinAviationHD]
RJ70,Avro RJ70,RJ70,Avro RJ70,N070SB,070,LF 507-1F,82,52510,71500,84000,83500,20640,,,,Default
RJ70,Avro RJ70,624280_1720179995963,Avro RJ70,G-JUST,,LF 507-1F,95,53320,74500,95000,83500,22840,M70,HighSpeed,HighSpeed,Just Flight (MSFS) - RJ70 Passenger
RJ85,Avro RJ85,RJ85,Avro RJ85,N085SB,085,LF 507-1F,100,54230,79000,93000,85000,20640,,,,Default
RJ85,Avro RJ85,624280_1720180363822,Avro RJ85,G-JUST,,LF 507-1F,112,55040,79000,97000,85000,22840,M70,HighSpeed,HighSpeed,Just Flight (MSFS) - RJ85 Passenger
RJ1H,Avro RJ100,RJ1H,Avro RJ100,N100SB,100,LF 507-1F,112,56530,82500,97500,88500,20640,,,,Default
RJ1H,Avro RJ100,624280_1720180848486,Avro RJ100,G-JUST,,LF 507-1F,112,57340,83500,101500,88500,22840,M70,HighSpeed,HighSpeed,Just Flight (MSFS) - RJ100 Passenger
RJ1H,Avro RJ100,624280_1752678882328,Avro RJ100 QT,G-JUST,,LF 507-1F,0,57210,80500,97500,86500,22840,M70,HighSpeed,HighSpeed,Just Flight (MSFS) - RJ100 QT
SB20,Saab 2000,3_1690663765144,Saab 2000,N200SB,200,AE 2100,50,14500,20000,22999,22000,4250,,,,Virtualcol Saab 2000 [credit: KevinAviationHD]
SF34,Saab 340B,SF34,Saab 340B,N340SB,340,GE CT7-9B,34,18752,26500,29000,28500,5690,,,,Default
SF50,Vision Jet,SF50,Vision Jet,N050SB,050,FJ33-5A,6,3711,4900,6000,5550,2000,,,,Default
SF50,Vision Jet,349674_1668992178449,Vision Jet,N22FX,,FJ33-5A,3,3730,4900,6000,5550,2000,,,,FlightFX (MSFS) - Executive [credit: Awemeter]
SF50,Vision Jet,349674_1669206892498,Vision Jet,N22FX,,FJ33-5A,5,3730,4900,6000,5550,2000,,,,FlightFX (MSFS) - Complete & Family [credit: Awemeter]
SH33,Short 330,SH33,Short 330,N330SB,330,PT6A-45B,33,14200,21140,22900,22800,3840,,,,Default
SH36,Short 360,SH36,Short 360,N360SB,360,PT6A-65R,36,15350,23140,26553,26400,3840,,,,Default
SR22,Cirrus SR22,SR22,Cirrus SR22,N225SB,225,IO-550-N,3,2269,3400,3600,3600,621,,,,Default
S22T,Cirrus SR22T,SR2T,Cirrus SR22T,N226SB,226,TSIO-550-K,3,2348,3400,3600,3600,621,,,,Default
STAR,Starship 2000A,STAR,Starship 2000A,N001SB,001,PT6A-67A,6,10085,12600,14900,13680,3752,,,,Default
SU95,Superjet 100,770964_1676714274794,Superjet 100,SU95LR,95001,SAM145,98,24250,40000,49450,41000,15804,,,,Headwind Simulations (MSFS) - SU95X Development
SW4,Metroliner,SW4,Metroliner,N133SB,133,TPE-331,19,8798,14000,16000,15500,4368,,,,Default
T134,Tu-134A-3,T134,Tu-134A-3,N134SB,134,D-30-III,84,66139,83776,108026,94799,31868,,,,Default
T154,Tu-154B2,T154,Tu-154B2,RA-154,154,False,180,115400,158400,215600,171600,87500,,,,Default
T154,Tu-154B2,3_1720024519482,Tu-154M,RA-85684,684,D-30KU-154,180,55300,71860,100000,78500,39700,False,False,False,Felis (X-Plane) - Tu-154M [credit: KevinAviationHD]
