Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
B738,B737-800,746599_1761165451022,B737-800,N738PM,806,CFM56-7B26,163,93175,138300,174900,146300,46062,CI,250/280/78,78/280/250,PMDG (MSFS) - Dual Class [credit: PMDG Official]
B738,B737-800,746599_1761165330356,B737-800,N738PM,806,CFM56-7B26,174,93175,138300,174900,146300,46062,CI,250/280/78,78/280/250,PMDG (MSFS) - Single Class [credit: PMDG Official]
B738,B737-800,746599_1761163464850,B737-800,N738PM,806,CFM56-7B26,189,93175,138300,174900,146300,46062,CI,250/280/78,78/280/250,PMDG (MSFS) - High Density [credit: PMDG Official]
B738,B737-800,746599_1761167330749,B737-800BCF,N738BS,806,CFM56-7B26,0,87375,138300,174700,146300,46062,CI,250/280/78,78/280/250,PMDG (MSFS) - Boeing Converted Freighter [credit: PMDG Official]
B738,B737-800,746599_1761168575251,B737-800BDSF,N738BF,806,CFM56-7B26,0,87375,138300,174700,146300,46062,CI,250/280/78,78/280/250,PMDG (MSFS) - BEDEK Special Freighter [credit: PMDG Official]
B738,B737-800,223254_1615396809795,B737-800,PH-BGC,806,CFM56-7B26,160,41880,61960,79239,66361,20894,CI,250/280/78,78/280/250,ProSim (MSFS) - B737-800 [credit: DaddyBoon]
B738,B737 BBJ2,BBJ2,B737 BBJ2,N800SB,800,CFM56-7B27,63,101949,138300,174200,146300,70400,,,,Default
B738,B737 BBJ2,746599_1761168101361,B737 BBJ2,N738BA,800,CFM56-7B27,48,102187,138300,174700,146300,46057,CI,250/280/78,78/280/250,PMDG (MSFS) - 0 Aux Tanks [credit: PMDG Official]
B738,B737 BBJ2,746599_1761166870912,B737 BBJ2,N738BA,800,CFM56-7B27,48,102187,138300,174700,146300,69980,CI,250/280/78,78/280/250,PMDG (MSFS) - 7 Aux Tanks [credit: PMDG Official]
B38M,B737 MAX 8,B38M,B737 MAX 8,N808SB,808,LEAP-1B28,189,96560,145400,182200,152800,45694,,,,Default
B38M,B737 MAX 8,3689_1764482331551,B737 MAX 8,B-2131,809,LEAP-1B28,166,45069,65952,82190,69308,20730,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 166 Seats (KG)
B38M,B737 MAX 8,3689_1763994649133,B737 MAX 8,B-2131,809,LEAP-1B28,166,99360,145400,181200,152800,45694,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 166 Seats (LBS)
B38M,B737 MAX 8,3689_1764487256314,B737 MAX 8,B-2131,809,LEAP-1B28,178,45069,65952,82190,69308,20730,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 178 Seats (KG)
B38M,B737 MAX 8,3689_1763995735874,B737 MAX 8,B-2131,809,LEAP-1B28,178,99360,145400,181200,152800,45694,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 178 Seats (LBS)
B38M,B737 MAX 8,3689_1764487349143,B737 MAX 8,B-2131,809,LEAP-1B28,189,45069,65952,82190,69308,20730,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 189 Seats (KG)
B38M,B737 MAX 8,3689_1725692397016,B737 MAX 8,B-2131,809,LEAP-1B28,189,99360,145400,181200,152800,45694,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8 - 189 Seats (LBS)
